grad,gpa,app,res
"东北大学秦皇岛分校","2.819","利兹大学
University of Leeds","申请失败"
"天津外国语学院滨海外事学院","3.28","谢菲尔德大学
The University of Sheffield","申请失败"
"徐州师范大学XuZhou Normal University","91.5","诺丁汉特伦特大学
Nottingham Trent University","申请成功"
"德蒙特福大学","75","格拉斯哥大学
University of Glasgow","申请成功"
"加利福尼亚大学尔湾分校","3.65","伦敦大学国王学院
King’s College London","申请成功"
"武汉东湖学院","84.78","约克大学
University of York","申请成功"
"中央兰开夏大学","申请时无海外学生成绩","萨里大学
University of Surrey","申请成功"
"谢菲尔德哈勒姆大学","申请时无海外学生成绩","纽卡斯尔大学
Newcastle University","申请失败"
"厦门大学","3.19","伦敦大学国王学院
King’s College London","申请失败"
"南京农业大学","86.42","曼彻斯特大学
The University of Manchester","申请成功"
"西华师范大学","80.15","卡迪夫大学
Cardiff University","申请失败"
"沈阳建筑大学","87","利兹大学
University of Leeds","申请成功"
"湖北经济学院","80.3","东英吉利大学
University of East Anglia","申请成功"
"浙江师范大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请成功"
"利物浦大学","50","曼彻斯特大学
The University of Manchester","申请失败"
"德蒙福特大学","申请时无均分成绩","卡迪夫大学
Cardiff University","申请成功"
"","申请时无均分成绩","卡迪夫大学
Cardiff University","申请成功"
"华东理工大学","3.68","谢菲尔德大学
The University of Sheffield","申请成功"
"威海常春藤国际学校","3.57","贝尔法斯特女王大学
Queen＇s University Belfast","申请失败"
"北京物资学院","87.5","格拉斯哥大学
University of Glasgow","申请失败"
"西南财经大学","2.5","基尔大学
Keele University","申请成功"
"天津外国语大学滨海外事学院","82","埃克塞特大学
University of Exeter","申请成功"
"德蒙福特大学","申请时无合办项目成绩","拉夫堡大学
Loughborough University","申请成功"
"安徽师范大学","80.36","谢菲尔德大学
The University of Sheffield","申请成功"
"苏州大学","3.2","曼彻斯特大学
The University of Manchester","申请成功"
"北京理工大学珠海学院","2.85","东英吉利大学
University of East Anglia","申请成功"
"集美大学诚毅学院","83","曼彻斯特大学
The University of Manchester","申请成功"
"Beijing Jiaotong University","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"中南大学","80.99","伯明翰大学
University of Birmingham","申请成功"
"威尔士三一圣大卫大学","申请时无均分成绩","拉夫堡大学
Loughborough University","申请成功"
"北京师范大学珠海分校","3.6","伯明翰大学
University of Birmingham","申请成功"
"同济大学","3.22","爱丁堡大学
The University of Edinburgh","申请失败"
"利物浦大学","61","曼彻斯特大学
The University of Manchester","申请失败"
"天津师范大学","83","莫纳什大学
Monash University","申请成功"
"江西财经大学","81.89","谢菲尔德大学
The University of Sheffield","申请失败"
"Beijing Film Academy","申请时无均分成绩","埃塞克斯大学
University of Essex","申请失败"
"吉林华桥外国语学院","3.43","约克大学
University of York","申请失败"
"朴次茅斯大学","申请时无均分成绩","埃克塞特大学
University of Exeter","申请成功"
"浙江工商大学","3.49","谢菲尔德大学
The University of Sheffield","申请失败"
"谢菲尔德哈勒姆大学","申请时无均分成绩","谢菲尔德哈勒姆大学
Sheffield Hallam University","申请成功"
"电子科技大学成都学院","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"普利茅斯大学","申请时无合办项目成绩","利物浦大学
University of Liverpool","申请成功"
"山东建筑大学","86","曼彻斯特大学
The University of Manchester","申请成功"
"西安科技大学高新学院","82.54","卡迪夫大学
Cardiff University","申请成功"
"复旦大学","2.86","布里斯托大学
University of Bristol","申请失败"
"BA INTERNATIONAL BUSINESS","申请时无均分成绩","拉夫堡大学
Loughborough University","申请成功"
"铜陵学院","86.54","拉夫堡大学
Loughborough University","申请失败"
"福建工程学院","80.38","雷丁大学
University of Reading","申请成功"
"宁波大红鹰学院","78.36","利兹大学
University of Leeds","申请失败"
"普利茅斯大学","申请时无合办项目成绩","伯明翰大学
University of Birmingham","申请成功"
"东华大学","3.16","赫瑞瓦特大学
Heriot-Watt University","申请成功"
"德蒙福特大学","申请时无均分成绩","萨塞克斯大学
University of Sussex","申请成功"
"中央财经大学","74.8","纽卡斯尔大学
Newcastle University","申请成功"
"华南师范大学增城学院","3.29","肯特大学
University of Kent","申请成功"
"北京理工大学","83.9","约克大学
University of York","申请失败"
"大连海事大学","73.44","利兹大学
University of Leeds","申请成功"
"北京理工大学珠海学院","2.85","肯特大学
University of Kent","申请成功"
"史丹福郡大学","申请时无海外学生成绩","萨塞克斯大学
University of Sussex","申请成功"
"牛津布鲁克斯大学","2.2","萨里大学
University of Surrey","申请失败"
"西南大学","3.47","曼彻斯特大学
The University of Manchester","申请失败"
"西南财经大学","79.02","拉夫堡大学
Loughborough University","申请成功"
"成均馆大学","83","曼彻斯特大学
The University of Manchester","申请失败"
"上海对外经贸大学","81","卡迪夫大学
Cardiff University","申请成功"
"华南农业大学珠江学院","87.22","布里斯托大学
University of Bristol","申请成功"
"中南林业科技大学","3.08","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请成功"
"中南林业科技大学涉外学院","3.59","利兹大学
University of Leeds","申请失败"
"广东外语外贸大学","3.55","杜伦大学
Durham University","申请成功"
"集美大学诚毅学院","83","纽卡斯尔大学
Newcastle University","申请成功"
"深圳大学","3.39","曼彻斯特大学
The University of Manchester","申请成功"
"天津商业大学","86","格拉斯哥大学
University of Glasgow","申请失败"
"暨南大学","3.29","伦敦大学国王学院
King’s College London","申请失败"
"朴次茅斯大学","申请时无海外学生成绩","卡迪夫大学
Cardiff University","申请成功"
"南开大学","78.622","兰卡斯特大学
Lancaster University","申请失败"
"中国农业大学","3.28","萨塞克斯大学
University of Sussex","申请成功"
"北京师范大学-香港浸会大学联合国际学院","2.62","新南威尔士大学
University of New South Wales","申请成功"
"重庆大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"Candidate for Bachelor of School of Urban","申请时无均分成绩","诺丁汉特伦特大学
Nottingham Trent University","申请成功"
"谢菲尔德大学","2.1","利兹大学
University of Leeds","申请失败"
"朴次茅斯大学","申请时无海外学生成绩","萨塞克斯大学
University of Sussex","申请成功"
"东华高级中学","申请时无均分成绩","格拉斯哥大学
University of Glasgow","申请成功"
"中央兰开夏大学","71.57","利兹大学
University of Leeds","申请成功"
"深圳大学","2.71","萨塞克斯大学
University of Sussex","申请成功"
"天津工业大学","87","布里斯托大学
University of Bristol","申请失败"
"赫尔大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"北京工业大学","申请时无均分成绩","爱丁堡大学
The University of Edinburgh","申请成功"
"普利茅斯大学","申请时无均分成绩","格拉斯哥大学
University of Glasgow","申请成功"
"北京师范大学-香港浸会大学联合国际学院","2.62","墨尔本大学
The University of Melbourne","申请失败"
"利物浦大学","60","爱丁堡大学
The University of Edinburgh","申请成功"
"悉尼大学","57.86","曼彻斯特大学
The University of Manchester","申请失败"
"南京审计学院","80","东英吉利大学
University of East Anglia","申请成功"
"信阳师范学院","78.78","利物浦大学
University of Liverpool","申请成功"
"江苏大学","82.42","利兹大学
University of Leeds","申请失败"
"上海政法学院","3.39","曼彻斯特大学
The University of Manchester","申请成功"
"华中科技大学","83.93","伦敦大学国王学院
King’s College London","申请失败"
"同济大学","2.92","伯明翰大学
University of Birmingham","申请失败"
"思克莱德大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"James Cook University","5.58","墨尔本皇家理工大学
RMIT University","申请成功"
"福建师范大学","76.5","谢菲尔德大学
The University of Sheffield","申请失败"
"德蒙福特大学","申请时无均分成绩","格拉斯哥大学
University of Glasgow","申请成功"
"谢菲尔德哈勒姆大学","申请时无海外学生成绩","萨塞克斯大学
University of Sussex","申请成功"
"澳洲翻译研究所","56.6","米德塞克斯大学
Middlesex University London","申请成功"
"广东财经大学","2.45","萨塞克斯大学
University of Sussex","申请失败"
"哈德斯菲尔德大学","申请时无海外学生成绩","拉夫堡大学
Loughborough University","申请失败"
"中央兰开夏大学","申请时无海外学生成绩","曼彻斯特大学
The University of Manchester","申请失败"
"Shenzhen University","3.2","谢菲尔德大学
The University of Sheffield","申请失败"
"浙江农林大学","3.51","澳大利亚国立大学
The Australian National University","申请成功"
"班戈大学","74.3","伦敦大学国王学院
King’s College London","申请成功"
"Community College of City University","2.75","约克大学
University of York","申请失败"
"南京审计学院","84","埃克塞特大学
University of Exeter","申请成功"
"都柏林格里菲斯学院","91","谢菲尔德大学
The University of Sheffield","申请失败"
"南京大学金陵学院","84","拉夫堡大学
Loughborough University","申请成功"
"伯明翰城市大学","申请时无海外学生成绩","伯明翰大学
University of Birmingham","申请失败"
"中山大学","申请时无均分成绩","布里斯托大学
University of Bristol","申请失败"
"普利茅斯大学","申请时无均分成绩","谢菲尔德大学
The University of Sheffield","申请失败"
"上海洋泾中学剑桥国际中心","3","利物浦大学
University of Liverpool","申请成功"
"南京审计学院","85","新南威尔士大学
University of New South Wales","申请成功"
"江南大学","3.391","悉尼大学
The University of Sydney","申请成功"
"华南农业大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"安徽大学江淮学院","77","肯特大学
University of Kent","申请成功"
"哈尔滨商业大学","78.34","贝尔法斯特女王大学
Queen＇s University Belfast","申请成功"
"朴次茅斯大学","申请时无海外学生成绩","利兹大学
University of Leeds","申请成功"
"河海大学","3.05","谢菲尔德大学
The University of Sheffield","申请成功"
"University of Reading","70.5","伦敦大学国王学院
King’s College London","申请成功"
"林肯大学","申请时无海外学生成绩","谢菲尔德哈勒姆大学
Sheffield Hallam University","申请成功"
"爱荷华大学","3.18","东英吉利大学
University of East Anglia","申请成功"
"威尔士三一圣大卫大学","申请时无均分成绩","谢菲尔德大学
The University of Sheffield","申请成功"
"北京化工大学","83","利兹大学
University of Leeds","申请成功"
"北京师范大学-香港浸会大学联合国际学院","2.48","斯特拉斯克莱德大学
University of Strathclyde","申请成功"
"聊城大学","3.8","约克大学
University of York","申请成功"
"哈德斯菲尔德大学","申请时无合办项目成绩","埃塞克斯大学
University of Essex","申请成功"
"南京林业大学","86.5","格拉斯哥大学
University of Glasgow","申请成功"
"哈德斯菲尔德大学","申请时无均分成绩","纽卡斯尔大学
Newcastle University","申请成功"
"南京财经大学","79.36","纽卡斯尔大学
Newcastle University","申请成功"
"吉林华桥外国语学院","2.69","谢菲尔德大学
The University of Sheffield","申请成功"
"北京理工大学","83.97","南安普顿大学
University of Southampton","申请失败"
"上海对外经贸大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"中山大学","3.1","澳大利亚国立大学
The Australian National University","申请成功"
"天津大学仁爱学院","85.12","墨尔本皇家理工大学
RMIT University","申请成功"
"Sun Yat-sen University","3","谢菲尔德大学
The University of Sheffield","申请成功"
"北京师范大学珠海分校","3","利兹大学
University of Leeds","申请失败"
"中南大学","78.49","悉尼大学
The University of Sydney","申请成功"
"普利茅斯大学","申请时无均分成绩","伯明翰大学
University of Birmingham","申请成功"
"西安外国语大学","2.89","东英吉利大学
University of East Anglia","申请成功"
"Deakin University","申请时无海外学生成绩","利兹大学
University of Leeds","申请成功"
"上海建桥学院","3.17","利兹大学
University of Leeds","申请成功"
"北京师范大学珠海分校","83","伯明翰城市大学
Birmingham City University","申请成功"
"南开大学滨海学院","89.5","曼彻斯特大学
The University of Manchester","申请成功"
"天津师范大学","83","墨尔本大学
The University of Melbourne","申请失败"
"宁波诺丁汉大学","申请时无海外学生成绩","曼彻斯特大学
The University of Manchester","申请失败"
"德蒙特福德大学","91.6","伦敦大学国王学院
King’s College London","申请失败"
"澳门科技大学","3.14","拉夫堡大学
Loughborough University","申请成功"
"利物浦大学","申请时无海外学生成绩","利兹大学
University of Leeds","申请成功"
"皇家墨尔本理工大学","申请时无海外学生成绩","墨尔本皇家理工大学
RMIT University","申请成功"
"哈德斯菲尔德大学","申请时无海外学生成绩","雷丁大学
University of Reading","申请成功"
"西安邮电大学","80.24","谢菲尔德大学
The University of Sheffield","申请失败"
"深圳大学","3.18","伦敦大学国王学院
King’s College London","申请失败"
"Dongbei University of Finance and Economics","申请时无GPA成绩","伯明翰大学
University of Birmingham","申请成功"
"上海财经大学","2.03","拉夫堡大学
Loughborough University","申请失败"
"天津大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"中山大学","3.2","纽卡斯尔大学
Newcastle University","申请成功"
"NANJING NORMAL UNIVERSITY","85.1","曼彻斯特大学
The University of Manchester","申请失败"
"边山大学","申请时无海外学生成绩","肯特大学
University of Kent","申请成功"
"安徽合肥服装学校","85","怀卡托大学
The University of Waikato","申请成功"
"东北大学","75","墨尔本大学
The University of Melbourne","申请成功"
"","3","埃塞克斯大学
University of Essex","申请成功"
"西华大学","3.2","新南威尔士大学
University of New South Wales","申请成功"
"广东财经大学","3.28","莫纳什大学
Monash University","申请成功"
"宁波诺丁汉大学","61","曼彻斯特大学
The University of Manchester","申请失败"
"考文垂大学","68","伯明翰大学
University of Birmingham","申请成功"
"广州大学","2.94","伯明翰大学
University of Birmingham","申请失败"
"班戈大学","申请时无海外学生成绩","南安普顿大学
University of Southampton","申请失败"
"湖南工业大学","85","利兹大学
University of Leeds","申请成功"
"考文垂大学","申请时无海外学生成绩","萨塞克斯大学
University of Sussex","申请成功"
"卡迪夫城市大学","申请时无海外学生成绩","雷丁大学
University of Reading","申请成功"
"朴次茅斯大学","申请时无均分成绩","谢菲尔德大学
The University of Sheffield","申请失败"
"西南交通大学","77","东英吉利大学
University of East Anglia","申请成功"
"南京航空航天大学Nanjing University of Aeronautics and Astronautics","3.8","曼彻斯特大学
The University of Manchester","申请失败"
"西南财经大学","3.3","利兹大学
University of Leeds","申请成功"
"东北林业大学","86.66","墨尔本皇家理工大学
RMIT University","申请成功"
"北京理工大学","80","利兹大学
University of Leeds","申请失败"
"四川大学","3.65","曼彻斯特大学
The University of Manchester","申请失败"
"格林威治大学","申请时无合办项目成绩","谢菲尔德大学
The University of Sheffield","申请失败"
"The University of Liverpool","75","墨尔本大学
The University of Melbourne","申请成功"
"斯特拉斯克莱德大学","申请时无均分成绩","纽卡斯尔大学
Newcastle University","申请成功"
"中央兰开夏大学","申请时无海外学生成绩","利兹大学
University of Leeds","申请成功"
"埃克塞特大学","85.45","格拉斯哥大学
University of Glasgow","申请成功"
"Pilot Point High School","90","南澳政府中学
SA Department of Education","申请成功"
"上海大学","3.14","爱丁堡大学
The University of Edinburgh","申请失败"
"华南师范大学","3.02","墨尔本皇家理工大学
RMIT University","申请成功"
"山东财经大学","2.85","利兹大学
University of Leeds","申请失败"
"朴次茅斯大学","申请时无均分成绩","格拉斯哥大学
University of Glasgow","申请成功"
"湘南学院","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"南京信息工程大学","76.88","曼彻斯特大学
The University of Manchester","申请成功"
"中央民族大学","80.6","布里斯托大学
University of Bristol","申请成功"
"上海工程技术大学","3.3","贝尔法斯特女王大学
Queen＇s University Belfast","申请成功"
"Beijing Jiaotong University","3.12","曼彻斯特大学
The University of Manchester","申请成功"
"西南大学","3.13","杜伦大学
Durham University","申请失败"
"西安外国语大学","3.56","拉夫堡大学
Loughborough University","申请成功"
"北京航空航天大学","87","伦敦大学国王学院
King’s College London","申请成功"
"上海商学院","90","纽卡斯尔大学
Newcastle University","申请成功"
"复旦大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请成功"
"广东外语外贸大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"辽宁师范大学","79.1","新南威尔士大学
University of New South Wales","申请失败"
"西北大学现代学院","81","卡迪夫大学
Cardiff University","申请成功"
"长春工程学院","77","拉夫堡大学
Loughborough University","申请失败"
"北京服装学院","87.5","利兹大学
University of Leeds","申请失败"
"South China University of Technology","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"Information Engineering School Hangzhou","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"广东外语外贸大学","3.55","约克大学
University of York","申请成功"
"University of Glasgow","申请时无海外学生成绩","布里斯托大学
University of Bristol","申请成功"
"南京高级中学","201706","考文垂大学
Coventry University","申请成功"
"北京师范大学珠海分校","3","卡迪夫大学
Cardiff University","申请成功"
"厦门大学","85.33","巴斯大学
University of Bath","申请成功"
"四川大学锦江学院","81.46","萨塞克斯大学
University of Sussex","申请成功"
"浙江大学","87.3","爱丁堡大学
The University of Edinburgh","申请成功"
"湖南商学院","78.5","东英吉利大学
University of East Anglia","申请成功"
"北京师范大学-香港浸会大学联合国际学院","3.26","昆士兰大学
The University of Queensland","申请成功"
"四川音乐学院","80.75","曼彻斯特大学
The University of Manchester","申请失败"
"普利茅斯大学","申请时无均分成绩","南安普顿大学
University of Southampton","申请成功"
"堪萨斯大学","3.6","伦敦大学国王学院
King’s College London","申请成功"
"","75.32","伦敦大学皇家霍洛威学院
Royal Holloway, University of London","申请成功"
"格林威治大学","申请时无海外学生成绩","伦敦大学国王学院
King’s College London","申请失败"
"","3.722","布里斯托大学
University of Bristol","申请成功"
"贝德福特大学","申请时无海外学生成绩","巴斯斯巴大学
Bath Spa University","申请成功"
"北京第二外国语学院","86.3","朴茨茅斯大学
University of Portsmouth","申请成功"
"中国传媒大学","3.54","曼彻斯特大学
The University of Manchester","申请成功"
"格林威治大学","申请时无均分成绩","萨塞克斯大学
University of Sussex","申请成功"
"哈尔滨工业大学","3.1","萨里大学
University of Surrey","申请成功"
"Dongbei University of Finance and Economics","85.79","布里斯托大学
University of Bristol","申请成功"
"山西财经大学","80","谢菲尔德大学
The University of Sheffield","申请失败"
"昌吉学院","89","谢菲尔德大学
The University of Sheffield","申请失败"
"Sichuan Agricultural University","申请时无均分成绩","爱丁堡大学
The University of Edinburgh","申请成功"
"赫特福德大学","申请时无海外学生成绩","谢菲尔德大学
The University of Sheffield","申请成功"
"深圳大学","3.29","爱丁堡大学
The University of Edinburgh","申请失败"
"普利茅斯大学","申请时无均分成绩","格拉斯哥大学
University of Glasgow","申请成功"
"海南大学","2.96","拉夫堡大学
Loughborough University","申请成功"
"西安财经学院行知学院","80","利兹大学
University of Leeds","申请失败"
"埃塞克斯大学","2.1","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请成功"
"Shanghai University of Electric Power","72.9","布鲁内尔大学
Brunel University London","申请失败"
"南京林业大学","86.5","南安普顿大学
University of Southampton","申请成功"
"深圳大学","2.89","拉夫堡大学
Loughborough University","申请失败"
"苏州大学文正学院","83.09","卡迪夫大学
Cardiff University","申请成功"
"南京中医药大学翰林学院","76.13","曼彻斯特大学
The University of Manchester","申请失败"
"利物浦大学","62","爱丁堡大学
The University of Edinburgh","申请成功"
"四川外国语大学","3.02","拉夫堡大学
Loughborough University","申请失败"
"利物浦大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"山东大学","77.87","曼彻斯特大学
The University of Manchester","申请成功"
"上海外国语大学贤达经济人文学院","3.15","利兹大学
University of Leeds","申请成功"
"中国药科大学","84.3","曼彻斯特大学
The University of Manchester","申请失败"
"河南大学","3.02","谢菲尔德大学
The University of Sheffield","申请失败"
"朴次茅斯大学","申请时无合办项目成绩","格拉斯哥大学
University of Glasgow","申请失败"
"湖南长沙同升湖国际实验学校","91.81","巴斯大学
University of Bath","申请失败"
"西安邮电大学","85.9","南安普顿大学
University of Southampton","申请失败"
"安徽大学","82","曼彻斯特大学
The University of Manchester","申请成功"
"山东财经大学","3.1","约克大学
University of York","申请失败"
"牛津布鲁克斯大学","申请时无海外学生成绩","利兹大学
University of Leeds","申请失败"
"中央民族大学","3.09","利兹大学
University of Leeds","申请成功"
"德蒙福特大学","申请时无海外学生成绩","伯明翰大学
University of Birmingham","申请成功"
"朴次茅斯大学","申请时无合办项目成绩","谢菲尔德大学
The University of Sheffield","申请成功"
"福州市第四中学","90","西门菲莎大学
Simon Fraser University","申请成功"
"Northampton/北京师范大学HND","2.1","莱斯特大学
University of Leicester","申请成功"
"朴次茅斯大学","申请时无均分成绩","伯明翰大学
University of Birmingham","申请成功"
"1","12","罗伯特戈登大学
Robert Gordon University","申请成功"
"伦敦大学","51","考文垂大学
Coventry University","申请成功"
"德蒙福特大学","申请时无海外学生成绩","格拉斯哥大学
University of Glasgow","申请成功"
"广东工业大学","3.1","萨里大学
University of Surrey","申请成功"
"苏州大学","3.3","卡迪夫大学
Cardiff University","申请成功"
"安徽科技学院","3.42","雷丁大学
University of Reading","申请成功"
"GuangXi University for Nationalities","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"四川农业大学","84","曼彻斯特大学
The University of Manchester","申请成功"
"德蒙福特大学","申请时无均分成绩","格拉斯哥大学
University of Glasgow","申请成功"
"广州大学","86","谢菲尔德大学
The University of Sheffield","申请失败"
"萨塞克斯大学","申请时无均分成绩","东英吉利大学
University of East Anglia","申请成功"
"深圳大学","3.5","纽卡斯尔大学
Newcastle University","申请成功"
"北爱荷华大学","申请时无合办项目成绩","雷丁大学
University of Reading","申请失败"
"香港城市大学","2.75","西澳大学
The University of Western Australia","申请成功"
"安徽工业大学工商学院","84.58","曼彻斯特大学
The University of Manchester","申请成功"
"广东工业大学Guangdong University of Technology","79.96","曼彻斯特大学
The University of Manchester","申请成功"
"朴次茅斯大学","申请时无合办项目成绩","拉夫堡大学
Loughborough University","申请成功"
"太原市实验中学校","83.21","中央兰开夏大学
University of Central Lancashire","申请成功"
"林国荣创意科技大学","3.51","考文垂大学
Coventry University","申请成功"
"东南大学成贤学院","3.18","纽卡斯尔大学
Newcastle University","申请成功"
"利物浦大学","65","曼彻斯特大学
The University of Manchester","申请成功"
"常州大学","4.12","伦敦大学皇家霍洛威学院
Royal Holloway, University of London","申请成功"
"武汉理工大学","申请时无均分成绩","利兹大学
University of Leeds","申请失败"
"天津商业大学","3.27","埃克塞特大学
University of Exeter","申请成功"
"诺丁汉特伦特国际学院","申请时无海外学生成绩","南安普顿大学
University of Southampton","申请失败"
"北京师范大学珠海分校","80","利物浦大学
University of Liverpool","申请成功"
"中南大学","78.11","诺丁汉大学
The University of Nottingham","申请失败"
"National University of Ireland, University College Dublin","申请时无海外学生成绩","布鲁内尔大学
Brunel University London","申请失败"
"沈阳建筑大学","75.4","赫瑞瓦特大学
Heriot-Watt University","申请成功"
"广东财经大学","2.73","曼彻斯特大学
The University of Manchester","申请失败"
"南京财经大学","81.9","赫尔大学
University of Hull","申请成功"
"重庆工商大学","83.01","格拉斯哥大学
University of Glasgow","申请失败"
"普利茅斯大学","申请时无海外学生成绩","利兹大学
University of Leeds","申请成功"
"密歇根州立大学","3.55","布里斯托大学
University of Bristol","申请成功"
"中央兰开夏大学","申请时无海外学生成绩","格拉斯哥大学
University of Glasgow","申请失败"
"利物浦国际学院","申请时无均分成绩","萨塞克斯大学
University of Sussex","申请成功"
"长春工业大学","2.98","斯特拉斯克莱德大学
University of Strathclyde","申请成功"
"普利茅斯大学","申请时无均分成绩","埃克塞特大学
University of Exeter","申请成功"
"上海外国语大学贤达经济人文学院","3.53","曼彻斯特大学
The University of Manchester","申请失败"
"宁波诺丁汉大学","69","墨尔本大学
The University of Melbourne","申请成功"
"华北科技学院","84","纽卡斯尔大学
Newcastle University","申请成功"
"中南大学","82.18","格拉斯哥大学
University of Glasgow","申请失败"
"长春工业大学","3.1","纽卡斯尔大学
Newcastle University","申请成功"
"苏州科技大学","83.32","利物浦大学
University of Liverpool","申请失败"
"中国药科大学","77","利兹大学
University of Leeds","申请成功"
"中央财经大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"东莞理工学院城市学院","2.79","萨塞克斯大学
University of Sussex","申请失败"
"北京师范大学珠海分校","82","利物浦大学
University of Liverpool","申请成功"
"埃塞克斯大学","2.1","阿斯顿大学
Aston University","申请成功"
"","申请时无均分成绩","莱斯特大学
University of Leicester","申请失败"
"浙江工商大学","3.49","格拉斯哥大学
University of Glasgow","申请成功"
"湖南大学","78.9","布里斯托大学
University of Bristol","申请成功"
"暨南大学","89","卡迪夫大学
Cardiff University","申请成功"
"Nantong University","申请时无均分成绩","卡迪夫大学
Cardiff University","申请失败"
"朴次茅斯大学","申请时无均分成绩","利兹大学
University of Leeds","申请失败"
"中山大学","3.7","杜伦大学
Durham University","申请成功"
"广西国际商务职业技术学院","80","雷丁大学
University of Reading","申请成功"
"云南财经大学","80.9","纽卡斯尔大学
Newcastle University","申请成功"
"大连民族大学","4.01","格拉斯哥大学
University of Glasgow","申请失败"
"天津商业大学","80","悉尼大学
The University of Sydney","申请失败"
"University of Manitoba","申请时无GPA成绩","伦敦大学皇家霍洛威学院
Royal Holloway, University of London","申请失败"
"长安大学","79","南安普顿大学
University of Southampton","申请成功"
"普渡大学","3.74","曼彻斯特大学
The University of Manchester","申请成功"
"山西大学","84","格拉斯哥大学
University of Glasgow","申请失败"
"湖南商学院","2.81","诺丁汉大学
The University of Nottingham","申请成功"
"上海外国语大学贤达经济人文学院","81.2","纽卡斯尔大学
Newcastle University","申请成功"
"德蒙福特大学","申请时无均分成绩","伯明翰大学
University of Birmingham","申请失败"
"对外经贸大学","76","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请成功"
"南京财经大学","80.59","格拉斯哥大学
University of Glasgow","申请成功"
"华南农业大学","3.35","伦敦大学国王学院
King’s College London","申请失败"
"山东财经大学","77.54","利物浦大学
University of Liverpool","申请成功"
"考文垂大学","申请时无均分成绩","格拉斯哥大学
University of Glasgow","申请成功"
"北京师范大学珠海分校","3.5","卡迪夫大学
Cardiff University","申请成功"
"广西民族大学","78.5","布鲁内尔大学
Brunel University London","申请成功"
"四川农业大学","83","东英吉利大学
University of East Anglia","申请成功"
